"featid","Key","Official.Name","Display.Name","System.Name","Asset.Number","Facilities.Code","Architect","Style","Location","Affiliation","Category","Primary.Use","UBC.Code","Planning","Condition","Operations","Ownership","Financing","Address","City","County","State","Zip.Code","Country","Address.Code","City.Code","County.Code","Floors","Height","Footprint","Perimeter","Basic.Gross","C.U.Gross","Circulation","Custodial","Mechanical","Parking","Toilet","Non.Assigned","Assignable","Space.Count","Net.Usable","Structural","Outside.Gross","Related.Gross","Maintained.Gross","Janitorized","Constructed","Occupied","Renovated","Vacated","Demolished","Construction","Capitalized","Replacement","Last.Reviewed","Prim..Usage..Percent.of.Net.Useable.","Primary.Usage..Type.","Prmary.Usage..SF.","Top.Org.with.Most.Space","Source...Campus.Steam.Loop","Sec..Usage..Percent.","Source...Campus.CHW.Loop","Secondary.Usage..Type.","Secondary.Usage..SF.","Dept..with.Most.Space","CAAN","CHW.Metered","Steam.Metered","Floor.Plans.PDF","Floor.Plans.DWG"
20,NA,"Animal Resources Service Z-3","Animal Resources Service Z-3","ARS Z-3","3702","H113",NA,NA,"03 - Davis","C - General Campus & Health Sciences","M - Health Science","LAB - Lab / Research","5 - Wood Frame","O - Obsolete","5 - Untenable","S - Zero ASF defaults to 100% State OMP Eligibility","UC - UC Owned, UC Constructed","STND - Standard OMP Funding Eligibility (based on program)","1313 Old Davis Road","Davis (Solano)","Solano","CA",NA,"USA","CORE CAMPUS",1474,48,1,0,1050,0,1050,0,0,0,0,0,0,0,960,1,960,90,1050,1050,1050,960,1951,"1951-06-01T07:00:00Z",NA,NA,NA,0,10544,384369,NA,100,"Special",960,"SCHOOL OF VETERINARY MEDICINE","No",NA,"No",NA,NA,"VM: CENTER FOR EQUINE HEALTH","3702","No","No","3702","3702"
21,NA,"Animal Resources Service Z-3","Animal Resources Service Z-3","ARS Z-3","3702","H113",NA,NA,"03 - Davis","C - General Campus & Health Sciences","M - Health Science","LAB - Lab / Research","5 - Wood Frame","O - Obsolete","5 - Untenable","S - Zero ASF defaults to 100% State OMP Eligibility","UC - UC Owned, UC Constructed","STND - Standard OMP Funding Eligibility (based on program)","1313 Old Davis Road","Davis (Solano)","Solano","CA",NA,"USA","CORE CAMPUS",1474,48,1,0,1050,0,1050,0,0,0,0,0,0,0,960,1,960,90,1050,1050,1050,960,1951,"1951-06-01T07:00:00Z",NA,NA,NA,0,10544,384369,NA,100,"Special",960,"SCHOOL OF VETERINARY MEDICINE","No",NA,"No",NA,NA,"VM: CENTER FOR EQUINE HEALTH","3702","No","No","3702","3702"
22,NA,"Animal Resources Service Z-3","Animal Resources Service Z-3","ARS Z-3","3702","H113",NA,NA,"03 - Davis","C - General Campus & Health Sciences","M - Health Science","LAB - Lab / Research","5 - Wood Frame","O - Obsolete","5 - Untenable","S - Zero ASF defaults to 100% State OMP Eligibility","UC - UC Owned, UC Constructed","STND - Standard OMP Funding Eligibility (based on program)","1313 Old Davis Road","Davis (Solano)","Solano","CA",NA,"USA","CORE CAMPUS",1474,48,1,0,1050,0,1050,0,0,0,0,0,0,0,960,1,960,90,1050,1050,1050,960,1951,"1951-06-01T07:00:00Z",NA,NA,NA,0,10544,384369,NA,100,"Special",960,"SCHOOL OF VETERINARY MEDICINE","No",NA,"No",NA,NA,"VM: CENTER FOR EQUINE HEALTH","3702","No","No","3702","3702"
23,NA,"Animal Resources Service Z-3","Animal Resources Service Z-3","ARS Z-3","3702","H113",NA,NA,"03 - Davis","C - General Campus & Health Sciences","M - Health Science","LAB - Lab / Research","5 - Wood Frame","O - Obsolete","5 - Untenable","S - Zero ASF defaults to 100% State OMP Eligibility","UC - UC Owned, UC Constructed","STND - Standard OMP Funding Eligibility (based on program)","1313 Old Davis Road","Davis (Solano)","Solano","CA",NA,"USA","CORE CAMPUS",1474,48,1,0,1050,0,1050,0,0,0,0,0,0,0,960,1,960,90,1050,1050,1050,960,1951,"1951-06-01T07:00:00Z",NA,NA,NA,0,10544,384369,NA,100,"Special",960,"SCHOOL OF VETERINARY MEDICINE","No",NA,"No",NA,NA,"VM: CENTER FOR EQUINE HEALTH","3702","No","No","3702","3702"
24,NA,"Animal Resources Service Z-3","Animal Resources Service Z-3","ARS Z-3","3702","H113",NA,NA,"03 - Davis","C - General Campus & Health Sciences","M - Health Science","LAB - Lab / Research","5 - Wood Frame","O - Obsolete","5 - Untenable","S - Zero ASF defaults to 100% State OMP Eligibility","UC - UC Owned, UC Constructed","STND - Standard OMP Funding Eligibility (based on program)","1313 Old Davis Road","Davis (Solano)","Solano","CA",NA,"USA","CORE CAMPUS",1474,48,1,0,1050,0,1050,0,0,0,0,0,0,0,960,1,960,90,1050,1050,1050,960,1951,"1951-06-01T07:00:00Z",NA,NA,NA,0,10544,384369,NA,100,"Special",960,"SCHOOL OF VETERINARY MEDICINE","No",NA,"No",NA,NA,"VM: CENTER FOR EQUINE HEALTH","3702","No","No","3702","3702"
25,NA,"Animal Resources Service Z-3","Animal Resources Service Z-3","ARS Z-3","3702","H113",NA,NA,"03 - Davis","C - General Campus & Health Sciences","M - Health Science","LAB - Lab / Research","5 - Wood Frame","O - Obsolete","5 - Untenable","S - Zero ASF defaults to 100% State OMP Eligibility","UC - UC Owned, UC Constructed","STND - Standard OMP Funding Eligibility (based on program)","1313 Old Davis Road","Davis (Solano)","Solano","CA",NA,"USA","CORE CAMPUS",1474,48,1,0,1050,0,1050,0,0,0,0,0,0,0,960,1,960,90,1050,1050,1050,960,1951,"1951-06-01T07:00:00Z",NA,NA,NA,0,10544,384369,NA,100,"Special",960,"SCHOOL OF VETERINARY MEDICINE","No",NA,"No",NA,NA,"VM: CENTER FOR EQUINE HEALTH","3702","No","No","3702","3702"
26,NA,"Animal Resources Service Z-3","Animal Resources Service Z-3","ARS Z-3","3702","H113",NA,NA,"03 - Davis","C - General Campus & Health Sciences","M - Health Science","LAB - Lab / Research","5 - Wood Frame","O - Obsolete","5 - Untenable","S - Zero ASF defaults to 100% State OMP Eligibility","UC - UC Owned, UC Constructed","STND - Standard OMP Funding Eligibility (based on program)","1313 Old Davis Road","Davis (Solano)","Solano","CA",NA,"USA","CORE CAMPUS",1474,48,1,0,1050,0,1050,0,0,0,0,0,0,0,960,1,960,90,1050,1050,1050,960,1951,"1951-06-01T07:00:00Z",NA,NA,NA,0,10544,384369,NA,100,"Special",960,"SCHOOL OF VETERINARY MEDICINE","No",NA,"No",NA,NA,"VM: CENTER FOR EQUINE HEALTH","3702","No","No","3702","3702"
27,NA,"Animal Resources Service Z-3","Animal Resources Service Z-3","ARS Z-3","3702","H113",NA,NA,"03 - Davis","C - General Campus & Health Sciences","M - Health Science","LAB - Lab / Research","5 - Wood Frame","O - Obsolete","5 - Untenable","S - Zero ASF defaults to 100% State OMP Eligibility","UC - UC Owned, UC Constructed","STND - Standard OMP Funding Eligibility (based on program)","1313 Old Davis Road","Davis (Solano)","Solano","CA",NA,"USA","CORE CAMPUS",1474,48,1,0,1050,0,1050,0,0,0,0,0,0,0,960,1,960,90,1050,1050,1050,960,1951,"1951-06-01T07:00:00Z",NA,NA,NA,0,10544,384369,NA,100,"Special",960,"SCHOOL OF VETERINARY MEDICINE","No",NA,"No",NA,NA,"VM: CENTER FOR EQUINE HEALTH","3702","No","No","3702","3702"
28,NA,"Animal Resources Service Z-3","Animal Resources Service Z-3","ARS Z-3","3702","H113",NA,NA,"03 - Davis","C - General Campus & Health Sciences","M - Health Science","LAB - Lab / Research","5 - Wood Frame","O - Obsolete","5 - Untenable","S - Zero ASF defaults to 100% State OMP Eligibility","UC - UC Owned, UC Constructed","STND - Standard OMP Funding Eligibility (based on program)","1313 Old Davis Road","Davis (Solano)","Solano","CA",NA,"USA","CORE CAMPUS",1474,48,1,0,1050,0,1050,0,0,0,0,0,0,0,960,1,960,90,1050,1050,1050,960,1951,"1951-06-01T07:00:00Z",NA,NA,NA,0,10544,384369,NA,100,"Special",960,"SCHOOL OF VETERINARY MEDICINE","No",NA,"No",NA,NA,"VM: CENTER FOR EQUINE HEALTH","3702","No","No","3702","3702"
29,NA,"Animal Resources Service Z-3","Animal Resources Service Z-3","ARS Z-3","3702","H113",NA,NA,"03 - Davis","C - General Campus & Health Sciences","M - Health Science","LAB - Lab / Research","5 - Wood Frame","O - Obsolete","5 - Untenable","S - Zero ASF defaults to 100% State OMP Eligibility","UC - UC Owned, UC Constructed","STND - Standard OMP Funding Eligibility (based on program)","1313 Old Davis Road","Davis (Solano)","Solano","CA",NA,"USA","CORE CAMPUS",1474,48,1,0,1050,0,1050,0,0,0,0,0,0,0,960,1,960,90,1050,1050,1050,960,1951,"1951-06-01T07:00:00Z",NA,NA,NA,0,10544,384369,NA,100,"Special",960,"SCHOOL OF VETERINARY MEDICINE","No",NA,"No",NA,NA,"VM: CENTER FOR EQUINE HEALTH","3702","No","No","3702","3702"
30,NA,"Animal Resources Service Z-3","Animal Resources Service Z-3","ARS Z-3","3702","H113",NA,NA,"03 - Davis","C - General Campus & Health Sciences","M - Health Science","LAB - Lab / Research","5 - Wood Frame","O - Obsolete","5 - Untenable","S - Zero ASF defaults to 100% State OMP Eligibility","UC - UC Owned, UC Constructed","STND - Standard OMP Funding Eligibility (based on program)","1313 Old Davis Road","Davis (Solano)","Solano","CA",NA,"USA","CORE CAMPUS",1474,48,1,0,1050,0,1050,0,0,0,0,0,0,0,960,1,960,90,1050,1050,1050,960,1951,"1951-06-01T07:00:00Z",NA,NA,NA,0,10544,384369,NA,100,"Special",960,"SCHOOL OF VETERINARY MEDICINE","No",NA,"No",NA,NA,"VM: CENTER FOR EQUINE HEALTH","3702","No","No","3702","3702"
31,NA,"Animal Resources Service Z-3","Animal Resources Service Z-3","ARS Z-3","3702","H113",NA,NA,"03 - Davis","C - General Campus & Health Sciences","M - Health Science","LAB - Lab / Research","5 - Wood Frame","O - Obsolete","5 - Untenable","S - Zero ASF defaults to 100% State OMP Eligibility","UC - UC Owned, UC Constructed","STND - Standard OMP Funding Eligibility (based on program)","1313 Old Davis Road","Davis (Solano)","Solano","CA",NA,"USA","CORE CAMPUS",1474,48,1,0,1050,0,1050,0,0,0,0,0,0,0,960,1,960,90,1050,1050,1050,960,1951,"1951-06-01T07:00:00Z",NA,NA,NA,0,10544,384369,NA,100,"Special",960,"SCHOOL OF VETERINARY MEDICINE","No",NA,"No",NA,NA,"VM: CENTER FOR EQUINE HEALTH","3702","No","No","3702","3702"
32,NA,"Animal Resources Service Z-3","Animal Resources Service Z-3","ARS Z-3","3702","H113",NA,NA,"03 - Davis","C - General Campus & Health Sciences","M - Health Science","LAB - Lab / Research","5 - Wood Frame","O - Obsolete","5 - Untenable","S - Zero ASF defaults to 100% State OMP Eligibility","UC - UC Owned, UC Constructed","STND - Standard OMP Funding Eligibility (based on program)","1313 Old Davis Road","Davis (Solano)","Solano","CA",NA,"USA","CORE CAMPUS",1474,48,1,0,1050,0,1050,0,0,0,0,0,0,0,960,1,960,90,1050,1050,1050,960,1951,"1951-06-01T07:00:00Z",NA,NA,NA,0,10544,384369,NA,100,"Special",960,"SCHOOL OF VETERINARY MEDICINE","No",NA,"No",NA,NA,"VM: CENTER FOR EQUINE HEALTH","3702","No","No","3702","3702"
33,NA,"Animal Resources Service Z-3","Animal Resources Service Z-3","ARS Z-3","3702","H113",NA,NA,"03 - Davis","C - General Campus & Health Sciences","M - Health Science","LAB - Lab / Research","5 - Wood Frame","O - Obsolete","5 - Untenable","S - Zero ASF defaults to 100% State OMP Eligibility","UC - UC Owned, UC Constructed","STND - Standard OMP Funding Eligibility (based on program)","1313 Old Davis Road","Davis (Solano)","Solano","CA",NA,"USA","CORE CAMPUS",1474,48,1,0,1050,0,1050,0,0,0,0,0,0,0,960,1,960,90,1050,1050,1050,960,1951,"1951-06-01T07:00:00Z",NA,NA,NA,0,10544,384369,NA,100,"Special",960,"SCHOOL OF VETERINARY MEDICINE","No",NA,"No",NA,NA,"VM: CENTER FOR EQUINE HEALTH","3702","No","No","3702","3702"
