"bldgKey","officialName","primaryDisplay","assetNumber","facilitiesCode","ucdhsBldgNum","location","affiliation","category","primaryUse","address","city","county","state","zip","countryCode","addressCode","latitude","longitude","occupied","onOffCampus","cefaName","cefaFireResistConsTypCd","planning","condition","defaultOMPElig","ompEligMethod","ownership","floors","height","footprint","perimeter","basicGross","cuGross","circulation","custodial","mechanical","parking","toilet","nasf","asf","spaceCount","netUsable","structural","outsideGross","relatedGross","maintainedGross","janitorized","constructed","renovated","vacated","demolished","ompEligSummary"
"DV-01-000013","Walnut Cottage","Walnut Cottage","3235","E033",NA,"03 - Davis","C - General Campus & Health Sciences","G - General","OFF - Academic / Administrative Office","442 La Rue Road","Davis","Yolo","CA","95616-5270","USA","CORE CAMPUS",38.53401,-121.75301,"1917-01-01","ON-CAMPUS","WALNUT","5 - Wood Frame","P - Permanent","3 - Fair","S - Zero ASF defaults to 100% State OMP Eligibility","STND - Standard OMP Funding Eligibility (based on program)","UC - UC Owned, UC Constructed",1,NA,966,NA,988,0,0,0,0,0,0,0,876,7,876,112,988,988,988,876,"1917-01-01",NA,NA,NA,"Official CAMPUS OMP Fall 2014: State 100.0% / Fees 0.0% / Other 0.0%"
"DV-01-000014","Cottonwood Cottage","Cottonwood Cottage","3236","E031",NA,"03 - Davis","C - General Campus & Health Sciences","G - General","OFF - Academic / Administrative Office","428 La Rue Road","Davis","Yolo","CA","95616-5270","USA","CORE CAMPUS",38.53425,-121.75261,"1917-01-01","ON-CAMPUS","COTTONWOOD","5 - Wood Frame","P - Permanent","3 - Fair","S - Zero ASF defaults to 100% State OMP Eligibility","STND - Standard OMP Funding Eligibility (based on program)","UC - UC Owned, UC Constructed",1,18,883,NA,3484,0,194,0,105,0,111,410,2737,21,3147,337,3484,3484,3484,3147,"1917-01-01",NA,NA,NA,"Official CAMPUS OMP Fall 2014: State 100.0% / Fees 0.0% / Other 0.0%"
"DV-01-000015","Elderberry Cottage","Elderberry Cottage","3387","E032",NA,"03 - Davis","C - General Campus & Health Sciences","G - General","OFF - Academic / Administrative Office","434 La Rue Road","Davis","Yolo","CA","95616-5270","USA","CORE CAMPUS",38.53406,-121.75282,"1918-01-01","ON-CAMPUS","ELDERBERRY","5 - Wood Frame","P - Permanent","3 - Fair","S - Zero ASF defaults to 100% State OMP Eligibility","STND - Standard OMP Funding Eligibility (based on program)","UC - UC Owned, UC Constructed",1,NA,493,NA,458,0,0,0,0,0,0,0,424,2,424,34,458,458,458,424,"1918-01-01",NA,NA,NA,"Official CAMPUS OMP Fall 2014: State 100.0% / Fees 0.0% / Other 0.0%"
"DV-01-000017","Temporary Building 174","Temporary Building 174","3204","C057",NA,"03 - Davis","C - General Campus & Health Sciences","G - General","LAB - Lab / Research","188 Arboretum Drive","Davis","Yolo","CA","95616-5270","USA","CORE CAMPUS",38.53616,-121.74649,"1922-01-01","ON-CAMPUS","TB 174","5 - Wood Frame","P - Permanent","3 - Fair","S - Zero ASF defaults to 100% State OMP Eligibility","STND - Standard OMP Funding Eligibility (based on program)","UC - UC Owned, UC Constructed",1,16,2200,NA,2200,0,0,0,0,0,0,0,2054,7,2054,146,2200,2200,2200,2054,"1922-01-01",NA,NA,NA,"Official CAMPUS OMP Fall 2014: State 100.0% / Fees 0.0% / Other 0.0%"
"DV-01-000018","Temporary Building 036","Temporary Building 036","3232","E037",NA,"03 - Davis","C - General Campus & Health Sciences","G - General","GEN - General Academic / Administrative Use","482 La Rue Road","Davis","Yolo","CA","95616-5270","USA","CORE CAMPUS",38.53371,-121.75365,"1922-01-01","ON-CAMPUS","TB  36","5 - Wood Frame","P - Permanent","2 - Good","S - Zero ASF defaults to 100% State OMP Eligibility","STND - Standard OMP Funding Eligibility (based on program)","UC - UC Owned, UC Constructed",1,17,609,NA,566,0,0,0,0,0,501,501,0,0,501,65,566,566,566,501,"1922-01-01",NA,NA,NA,"Official CAMPUS OMP Fall 2014: State 100.0% / Fees 0.0% / Other 0.0%"
"DV-01-000019","Willow Cottage","Willow Cottage","3435","E035",NA,"03 - Davis","C - General Campus & Health Sciences","G - General","LAB - Lab / Research","468 La Rue Road","Davis","Yolo","CA","95616-5270","USA","CORE CAMPUS",38.53395,-121.75357,"1922-01-01","ON-CAMPUS","WILLOW","5 - Wood Frame","P - Permanent","4 - Poor","S - Zero ASF defaults to 100% State OMP Eligibility","STND - Standard OMP Funding Eligibility (based on program)","UC - UC Owned, UC Constructed",1,21,3339,NA,3339,0,110,0,176,0,0,286,2580,12,2866,473,3339,3339,3339,2866,"1922-01-01",NA,NA,NA,"Official CAMPUS OMP Fall 2014: State 100.0% / Fees 0.0% / Other 0.0%"
"DV-01-000020","Maple Cottage","Maple Cottage","3940","E036",NA,"03 - Davis","C - General Campus & Health Sciences","G - General","STR - Storage","474 La Rue Road","Davis","Yolo","CA","95616-5270","USA","CORE CAMPUS",38.53378,-121.75347,"1922-01-01","ON-CAMPUS","MAPLE","5 - Wood Frame","P - Permanent","2 - Good","S - Zero ASF defaults to 100% State OMP Eligibility","STND - Standard OMP Funding Eligibility (based on program)","UC - UC Owned, UC Constructed",1,NA,430,NA,430,0,0,0,0,0,0,0,414,2,414,16,430,430,430,414,"1922-01-01",NA,NA,NA,"Official CAMPUS OMP Fall 2014: State 100.0% / Fees 0.0% / Other 0.0%"
"DV-01-000022","Harry B. Walker Hall","Walker Hall","3201","C014",NA,"03 - Davis","C - General Campus & Health Sciences","G - General","CLS - Classroom","300 Peter J. Shields Avenue","Davis","Yolo","CA","95616-5270","USA","CORE CAMPUS",38.53965,-121.75073,"1927-01-01","ON-CAMPUS","WALKER","1 - Fire Resistive","O - Obsolete","4 - Poor","S - Zero ASF defaults to 100% State OMP Eligibility","STND - Standard OMP Funding Eligibility (based on program)","UC - UC Owned, UC Constructed",2,42,28000,NA,44415,0,3877,0,80,0,543,4500,36988,91,41488,2927,44415,44415,44415,41488,"1927-01-01",NA,NA,NA,"Official CAMPUS OMP Fall 2014: State 100.0% / Fees 0.0% / Other 0.0%"
"DV-01-000023","George H. Hart Hall","Hart Hall","3207","B041",NA,"03 - Davis","C - General Campus & Health Sciences","G - General","OFF - Academic / Administrative Office","301 Peter J. Shields Avenue","Davis","Yolo","CA","95616-5270","USA","CORE CAMPUS",38.54063,-121.75085,"1928-01-01","ON-CAMPUS","HART","1 - Fire Resistive","P - Permanent","3 - Fair","S - Zero ASF defaults to 100% State OMP Eligibility","STND - Standard OMP Funding Eligibility (based on program)","UC - UC Owned, UC Constructed",4,44,24574,NA,91542,0,16568,165,6230,0,1498,24461,38476,199,64228,27314,91542,91542,91542,64228,"1928-01-01","1992-01-01",NA,NA,"Official CAMPUS OMP Fall 2014: State 100.0% / Fees 0.0% / Other 0.0%"
"DV-01-000043","Human and Community Development Computer Lab","Human and Community Development Computer Lab","3241","A023",NA,"03 - Davis","C - General Campus & Health Sciences","G - General","GEN - General Academic / Administrative Use","268 First Street","Davis","Yolo","CA","95616-5270","USA","CORE CAMPUS",38.54107,-121.74455,"1936-01-01","ON-CAMPUS","HCD CMPTR LB","5 - Wood Frame","P - Permanent","2 - Good","S - Zero ASF defaults to 100% State OMP Eligibility","STND - Standard OMP Funding Eligibility (based on program)","UC - UC Owned, UC Constructed",1,NA,2009,NA,1953,1256,343,0,0,0,0,343,1148,9,1491,462,3209,2581,2581,1491,"1936-01-01",NA,NA,NA,"Official CAMPUS OMP Fall 2014: State 100.0% / Fees 0.0% / Other 0.0%"
"DV-01-000044","Human and Community Development Administration","Human and Community Development Administration","3345","A022",NA,"03 - Davis","C - General Campus & Health Sciences","G - General","OFF - Academic / Administrative Office","238 First Street","Davis","Yolo","CA","95616-5270","USA","CORE CAMPUS",38.54094,-121.74485,"1936-01-01","ON-CAMPUS","HCD ADMIN","5 - Wood Frame","P - Permanent","2 - Good","S - Zero ASF defaults to 100% State OMP Eligibility","STND - Standard OMP Funding Eligibility (based on program)","UC - UC Owned, UC Constructed",1,NA,1588,NA,1401,136,225,0,8,0,0,233,1099,13,1332,69,1537,1469,1469,1332,"1936-01-01",NA,NA,NA,"Official CAMPUS OMP Fall 2014: State 100.0% / Fees 0.0% / Other 0.0%"
"DV-01-000045","Human and Community Development Child Development","Human and Community Development Child Development","3712","A025",NA,"03 - Davis","C - General Campus & Health Sciences","G - General","LAB - Lab / Research","274 First Street","Davis","Yolo","CA","95616-5270","USA","CORE CAMPUS",38.54086,-121.74446,"1936-01-01","ON-CAMPUS","HCD CHLD DEV","5 - Wood Frame","P - Permanent","2 - Good","S - Zero ASF defaults to 100% State OMP Eligibility","STND - Standard OMP Funding Eligibility (based on program)","UC - UC Owned, UC Constructed",1,NA,700,NA,647,53,111,0,16,0,0,127,459,7,586,61,700,674,674,586,"1936-01-01",NA,NA,NA,"Official CAMPUS OMP Fall 2014: State 100.0% / Fees 0.0% / Other 0.0%"
"DV-01-000047","Vernard B. Hickey Gymnasium","Hickey Gym","3331","B005",NA,"03 - Davis","C - General Campus & Health Sciences","G - General","REC - Athletics & Recreation","350 Howard Way","Davis","Yolo","CA","95616-5270","USA","CORE CAMPUS",38.54351,-121.74928,"1938-01-01","ON-CAMPUS","HICKEY GYM","1 - Fire Resistive","P - Permanent","3 - Fair","S - Zero ASF defaults to 100% State OMP Eligibility","STND - Standard OMP Funding Eligibility (based on program)","UC - UC Owned, UC Constructed",3,55,72000,NA,117804,0,14242,252,656,0,1168,16318,60224,128,77423,40381,117804,117804,117804,77423,"1938-01-01",NA,NA,NA,"Official CAMPUS OMP Fall 2014: State 98.0% / Fees 2.0% / Other 0.0%"
"DV-01-000048","Art Building Annex","Art Building Annex","3400","C034",NA,"03 - Davis","C - General Campus & Health Sciences","G - General","CLS - Classroom","215 Cushing Way","Davis","Yolo","CA","95616-5270","USA","CORE CAMPUS",38.53839,-121.74866,"1938-01-01","ON-CAMPUS","ART ANNEX","3 - Ordinary Masonry","P - Permanent","4 - Poor","S - Zero ASF defaults to 100% State OMP Eligibility","STND - Standard OMP Funding Eligibility (based on program)","UC - UC Owned, UC Constructed",1,26,7344,NA,9973,0,1057,28,433,0,392,1910,7368,10,9278,695,9973,9973,9973,9278,"1938-01-01",NA,NA,NA,"Official CAMPUS OMP Fall 2014: State 100.0% / Fees 0.0% / Other 0.0%"
"DV-01-000050","Vet Med Large Animal Facility","Vet Med Large Animal Facility","3490B","H013",NA,"03 - Davis","C - General Campus & Health Sciences","M - Health Science","LAB - Lab / Research","916 Old Davis Road","Davis","Solano","CA","95616-5270","USA","CORE CAMPUS",38.52586,-121.75621,"1938-01-01","ON-CAMPUS","VET LG AN F","5 - Wood Frame","P - Permanent","3 - Fair","S - Zero ASF defaults to 100% State OMP Eligibility","STND - Standard OMP Funding Eligibility (based on program)","UC - UC Owned, UC Constructed",1,NA,7500,NA,7091,0,0,0,0,0,0,0,6714,15,6714,377,7091,7091,7091,6714,"1938-01-01",NA,NA,NA,"Official CAMPUS OMP Fall 2014: State 100.0% / Fees 0.0% / Other 0.0%"
"DV-01-000053","Enology Laboratory Building","Enology Laboratory Building","3291","B036",NA,"03 - Davis","C - General Campus & Health Sciences","G - General","LAB - Lab / Research","380 North Quad","Davis","Yolo","CA","95616-5270","USA","CORE CAMPUS",38.54219,-121.75233,"1939-01-01","ON-CAMPUS","ENOL","5 - Wood Frame","P - Permanent","3 - Fair","S - Zero ASF defaults to 100% State OMP Eligibility","STND - Standard OMP Funding Eligibility (based on program)","UC - UC Owned, UC Constructed",2,36,8100,NA,14247,0,958,13,327,0,198,1496,12433,27,13929,318,14247,14247,14247,13929,"1939-01-01",NA,NA,NA,"Official CAMPUS OMP Fall 2014: State 100.0% / Fees 0.0% / Other 0.0%"
"DV-01-000056","Peter J. Shields Library","Shields Library","3390","C010",NA,"03 - Davis","C - General Campus & Health Sciences","G - General","LIB - Library / Study","100 West Quad Bikeway","Davis","Yolo","CA","95616-5270","USA","CORE CAMPUS",38.53974,-121.74911,"1940-01-01","ON-CAMPUS","LIB","3 - Ordinary Masonry","P - Permanent","3 - Fair","S - Zero ASF defaults to 100% State OMP Eligibility","STND - Standard OMP Funding Eligibility (based on program)","UC - UC Owned, UC Constructed",5,52,38027,NA,407799,4432,22868,781,7922,0,4680,36251,321357,250,357608,50191,412231,410015,410015,357608,"1940-01-01","1992-01-22",NA,NA,"Official CAMPUS OMP Fall 2014: State 100.0% / Fees 0.0% / Other 0.0%"
"DV-01-000057","Temporary Building 015","Temporary Building 015","3439","D025",NA,"03 - Davis","C - General Campus & Health Sciences","R - Residential","RES - Non-Specific Residential","550 Regan Hall Circle","Davis","Yolo","CA","95616-5270","USA","CORE CAMPUS",38.54311,-121.75551,"1940-01-01","ON-CAMPUS","TB  15","5 - Wood Frame","P - Permanent","3 - Fair","S - Zero ASF defaults to 100% State OMP Eligibility","STND - Standard OMP Funding Eligibility (based on program)","UC - UC Owned, UC Constructed",2,26,1400,NA,2756,0,310,0,0,0,0,310,1190,7,1500,1256,2756,2756,2756,1500,"1940-01-01",NA,NA,NA,"Official CAMPUS OMP Fall 2014: State 0.0% / Fees 0.0% / Other 100.0%"
"DV-01-000058","Herbert A. Young Hall","Young Hall","3266","B007",NA,"03 - Davis","C - General Campus & Health Sciences","G - General","CLS - Classroom","200 East Quad","Davis","Yolo","CA","95616-5270","USA","CORE CAMPUS",38.5424,-121.74771,"1940-01-01","ON-CAMPUS","YOUNG","1 - Fire Resistive","P - Permanent","4 - Poor","S - Zero ASF defaults to 100% State OMP Eligibility","STND - Standard OMP Funding Eligibility (based on program)","UC - UC Owned, UC Constructed",4,36,37000,NA,87226,5220,18113,265,4934,0,1485,24797,53149,255,77750,9476,92446,89836,89836,77750,"1940-01-01",NA,NA,NA,"Official CAMPUS OMP Fall 2014: State 100.0% / Fees 0.0% / Other 0.0%"
"DV-01-000061","Temporary Building 020","Temporary Building 020","3212","Q032",NA,"03 - Davis","C - General Campus & Health Sciences","G - General","SPC - Special Use","683 Hopkins Road","Davis","Yolo","CA","95616-5270","USA","CORE CAMPUS",38.53087,-121.79282,"1943-01-01","ON-CAMPUS","TB  20","5 - Wood Frame","P - Permanent","3 - Fair","S - Zero ASF defaults to 100% State OMP Eligibility","STND - Standard OMP Funding Eligibility (based on program)","UC - UC Owned, UC Constructed",1,NA,2908,NA,2908,680,680,0,0,0,0,680,2865,1,3545,-637,3588,3248,3248,3545,"1943-01-01",NA,NA,NA,"Official CAMPUS OMP Fall 2014: State 100.0% / Fees 0.0% / Other 0.0%"
"DV-01-000062","HB 1 Garage","HB 1 Garage","3512","J004",NA,"03 - Davis","C - General Campus & Health Sciences","G - General","SPC - Special Use","1179 Old Davis Road","Davis","Solano","CA","95616-5270","USA","CORE CAMPUS",38.52174,-121.75772,"1945-01-01","ON-CAMPUS","HB 1 GAR","5 - Wood Frame","P - Permanent","2 - Good","S - Zero ASF defaults to 100% State OMP Eligibility","STND - Standard OMP Funding Eligibility (based on program)","UC - UC Owned, UC Constructed",1,13,400,NA,400,0,0,0,0,0,0,0,350,1,350,50,400,400,400,350,"1945-01-01",NA,NA,NA,"Official CAMPUS OMP Fall 2014: State 100.0% / Fees 0.0% / Other 0.0%"
"DV-01-000064","Temporary Building 016","Temporary Building 016","3242","D024",NA,"03 - Davis","C - General Campus & Health Sciences","G - General","OFF - Academic / Administrative Office","560 Regan Hall Circle","Davis","Yolo","CA","95616-5270","USA","CORE CAMPUS",38.5433,-121.75578,"1947-01-01","ON-CAMPUS","TB  16","5 - Wood Frame","P - Permanent","3 - Fair","S - Zero ASF defaults to 100% State OMP Eligibility","STND - Standard OMP Funding Eligibility (based on program)","UC - UC Owned, UC Constructed",1,NA,1500,NA,2234,110,497,0,0,0,0,497,1535,16,2032,202,2344,2289,2289,2032,"1947-01-01",NA,NA,NA,"Official CAMPUS OMP Fall 2014: State 0.0% / Fees 100.0% / Other 0.0%"
"DV-01-000065","Temporary Building 013","Temporary Building 013","3245","D022",NA,"03 - Davis","C - General Campus & Health Sciences","R - Residential","RES - Non-Specific Residential","530 Regan Hall Circle","Davis","Yolo","CA","95616-5270","USA","CORE CAMPUS",38.54347,-121.75522,"1947-01-01","ON-CAMPUS","TB  13","5 - Wood Frame","P - Permanent","3 - Fair","S - Zero ASF defaults to 100% State OMP Eligibility","STND - Standard OMP Funding Eligibility (based on program)","UC - UC Owned, UC Constructed",2,NA,1500,NA,2621,0,350,0,0,0,48,398,1811,19,2209,412,2621,2621,2621,2209,"1937-01-01",NA,NA,NA,"Official CAMPUS OMP Fall 2014: State 0.0% / Fees 0.0% / Other 100.0%"
"DV-01-000066","Temporary Building 0 9","Temporary Building 009","3278","C006",NA,"03 - Davis","C - General Campus & Health Sciences","G - General","LAB - Lab / Research","118 Hutchison Drive","Davis","Yolo","CA","95616-5270","USA","CORE CAMPUS",38.53983,-121.74611,"1947-01-01","ON-CAMPUS","TB   9","4 - Incombustible Frame","P - Permanent","3 - Fair","S - Zero ASF defaults to 100% State OMP Eligibility","STND - Standard OMP Funding Eligibility (based on program)","UC - UC Owned, UC Constructed",1,19,8320,NA,8200,0,499,0,0,0,499,998,6760,12,7758,442,8200,8200,8200,7758,"1947-01-01",NA,NA,NA,"Official CAMPUS OMP Fall 2014: State 100.0% / Fees 0.0% / Other 0.0%"
"DV-01-000067","Temporary Building 001","Temporary Building 001","3462","L021",NA,"03 - Davis","C - General Campus & Health Sciences","G - General","UNK - Unclassified","2325 Garrod Drive","Davis","Yolo","CA","95616-5270","USA","CORE CAMPUS",38.53116,-121.77877,"1947-01-01","ON-CAMPUS","TB   1","5 - Wood Frame","P - Permanent","3 - Fair","S - Zero ASF defaults to 100% State OMP Eligibility","STND - Standard OMP Funding Eligibility (based on program)","UF - UC Owned, No Cost to UC",1,14,3040,NA,3040,0,0,0,0,0,0,0,2927,10,2927,113,3040,3040,3040,2927,"1947-01-01",NA,NA,NA,"Official CAMPUS OMP Fall 2014: State 100.0% / Fees 0.0% / Other 0.0%"
"DV-01-000068","Temporary Building 0 2","Temporary Building 002","3463","L022",NA,"03 - Davis","C - General Campus & Health Sciences","G - General","UNK - Unclassified","2315 Garrod Drive","Davis","Yolo","CA","95616-5270","USA","CORE CAMPUS",38.53096,-121.77878,"1947-01-01","ON-CAMPUS","TB   2","5 - Wood Frame","P - Permanent","3 - Fair","S - Zero ASF defaults to 100% State OMP Eligibility","STND - Standard OMP Funding Eligibility (based on program)","UF - UC Owned, No Cost to UC",1,NA,3040,NA,3040,0,0,0,0,0,0,0,2974,4,2974,66,3040,3040,3040,2974,"1947-01-01",NA,NA,NA,"Official CAMPUS OMP Fall 2014: State 100.0% / Fees 0.0% / Other 0.0%"
"DV-01-000069","Temporary Building 0 3","Temporary Building 003","3464","L023",NA,"03 - Davis","C - General Campus & Health Sciences","G - General","UNK - Unclassified","2305 Garrod Drive","Davis","Yolo","CA","95616-5270","USA","CORE CAMPUS",38.53085,-121.77878,"1947-01-01","ON-CAMPUS","TB   3","5 - Wood Frame","P - Permanent","3 - Fair","S - Zero ASF defaults to 100% State OMP Eligibility","STND - Standard OMP Funding Eligibility (based on program)","UF - UC Owned, No Cost to UC",1,NA,3040,NA,3040,0,0,0,0,0,160,160,2808,5,2968,72,3040,3040,3040,2968,"1947-01-01",NA,NA,NA,"Official CAMPUS OMP Fall 2014: State 100.0% / Fees 0.0% / Other 0.0%"
"DV-01-000070","Temporary Building 0 7","Temporary Building 007","3468","N028",NA,"03 - Davis","C - General Campus & Health Sciences","M - Health Science","STR - Storage","2780 Hutchison Drive","Davis","Yolo","CA","95616-5270","USA","CORE CAMPUS",38.53892,-121.785,"1947-01-01","ON-CAMPUS","TB   7","5 - Wood Frame","P - Permanent","4 - Poor","S - Zero ASF defaults to 100% State OMP Eligibility","STND - Standard OMP Funding Eligibility (based on program)","UF - UC Owned, No Cost to UC",1,9,800,NA,800,0,0,0,0,0,0,0,792,2,792,8,800,800,800,792,"1947-01-01",NA,NA,NA,"Official CAMPUS OMP Fall 2014: State 100.0% / Fees 0.0% / Other 0.0%"
